PLAYER,index,salary,wiki_views,twitter_fav,twitter_RT
Russell Westbrook,0,26.5,4279,2130.5,559
James Harden,1,26.5,3279,969,321.5
Anthony Davis,2,22.12,82.5,368,104
DeMarcus Cousins,3,16.96,1625.5,102,91.5
Damian Lillard,4,24.33,1830.5,186.5,43
LeBron James,5,30.96,14704,5533.5,1501.5
Kawhi Leonard,6,17.64,2446.5,2701.5,716.5
Stephen Curry,7,12.11,17570.5,12278,2893
Kyrie Irving,8,17.64,4796,1541,695
Kevin Durant,9,26.5,6288.5,1425.5,366
Karl-Anthony Towns,10,5.96,2046.5,0,105
Jimmy Butler,11,17.55,41,89.5,30
Paul George,12,18.31,1600,228.5,128
Andrew Wiggins,13,6.01,1778.5,182,54.5
Kemba Walker,14,12,640.5,59.5,32.5
Bradley Beal,15,22.12,413.5,55.5,40.5
John Wall,16,16.96,57,0,77
Carmelo Anthony,17,24.56,3773.5,720.5,220
Klay Thompson,18,16.66,3708,797,225
Devin Booker,19,2.22,1210.5,1170.5,335.5
Gordon Hayward,20,16.07,689,319,50.5
Blake Griffin,21,20.14,2257,269,98.5
Eric Bledsoe,22,14,434.5,9,30.5
Mike Conley,23,26.54,11,257.5,90
Goran Dragic,24,15.89,19,62.5,45
Joel Embiid,25,4.83,1075.5,6852.5,2941
Jabari Parker,26,5.37,815,267,125
Marc Gasol,27,21.17,825,0,75.5
Kevin Love,28,21.17,2013.5,866.5,194.5
Zach LaVine,29,2.24,1103,178.5,67
Dwyane Wade,30,23.2,4671,349.5,149.5
Danilo Gallinari,31,15.05,350,29,6
Paul Millsap,32,20.07,436.5,60,32
Chris Paul,33,22.87,2689.5,829,178.5
Kristaps Porzingis,34,4.32,20,485,214
Derrick Rose,35,21.32,3273.5,1864,2504.5
Dennis Schroder,36,2.71,2,51.5,20
LaMarcus Aldridge,37,20.58,958,195,63
Evan Fournier,38,17,253.5,21,10
George Hill,39,8,12,33.5,3
Nikola Jokic,40,1.36,8,0,1
Eric Gordon,41,12.39,346,55,26
Tobias Harris,42,17.2,327,2,4
Victor Oladipo,43,6.55,715,78,28
Dion Waiters,44,2.9,512,0,7
Wilson Chandler,45,11.23,166,31.5,18.5
D'Angelo Russell,46,5.33,1327,0,232
Jrue Holiday,47,11.29,547.5,0,39
Jeff Teague,48,8.8,12,17.5,13.5
Nicolas Batum,49,20.87,374.5,114.5,66
Gary Harris,50,1.66,187.5,6,2.5
Jordan Clarkson,51,12.5,1386.5,55.5,179.5
