NAME,POSITION,TEAM,SALARY,SALARY2
LeBron James,SF,Cleveland Cavaliers,30963450,30.96345
Mike Conley,PG,Memphis Grizzlies,26540100,26.5401
Al Horford,C,Boston Celtics,26540100,26.5401
Dirk Nowitzki,PF,Dallas Mavericks,25e6,25
Carmelo Anthony,SF,New York Knicks,24559380,24.55938
Damian Lillard,PG,Portland Trail Blazers,24328425,24.328425
Chris Bosh,PF,Miami Heat,23741060,23.74106
Dwyane Wade,SG,Chicago Bulls,232e5,23.2
Dwight Howard,C,Atlanta Hawks,23180275,23.180275
Chris Paul,PG,Los Angeles Clippers,22868827,22.868827
Chandler Parsons,SF,Memphis Grizzlies,22116750,22.11675
Bradley Beal,SG,Washington Wizards,22116750,22.11675
Anthony Davis,PF,New Orleans Pelicans,22116750,22.11675
Derrick Rose,PG,New York Knicks,21323252,21.323252
Marc Gasol,C,Memphis Grizzlies,21165675,21.165675
Brook Lopez,C,Brooklyn Nets,21165675,21.165675
Kevin Love,PF,Cleveland Cavaliers,21165675,21.165675
Nicolas Batum,SG,Charlotte Hornets,20869566,20.869566
LaMarcus Aldridge,PF,San Antonio Spurs,20575005,20.575005
Blake Griffin,PF,Los Angeles Clippers,20140839,20.140839
Paul Millsap,PF,Atlanta Hawks,20072033,20.072033
Ryan Anderson,PF,Houston Rockets,18735364,18.735364
Allen Crabbe,SG,Portland Trail Blazers,185e5,18.5
Paul George,SF,Indiana Pacers,18314532,18.314532
Luol Deng,SF,Los Angeles Lakers,18e6,18
Kawhi Leonard,SF,San Antonio Spurs,17638063,17.638063
Kyrie Irving,PG,Cleveland Cavaliers,17638063,17.638063
Jimmy Butler,SG,Chicago Bulls,17552209,17.552209
Tobias Harris,SF,Detroit Pistons,172e5,17.2
Enes Kanter,C,Oklahoma City Thunder,17145838,17.145838
Greg Monroe,C,Milwaukee Bucks,17145838,17.145838
Wesley Matthews,SG,Dallas Mavericks,17145838,17.145838
Bismack Biyombo,C,Orlando Magic,17e6,17
Evan Fournier,SG,Orlando Magic,17e6,17
Joakim Noah,C,New York Knicks,17e6,17
John Wall,PG,Washington Wizards,16957900,16.9579
DeMarcus Cousins,C,Sacramento Kings,16957900,16.9579
Klay Thompson,SG,Golden State Warriors,16663575,16.663575
Evan Turner,SG,Portland Trail Blazers,16393443,16.393443
Gordon Hayward,SF,Utah Jazz,16073140,16.07314
Timofey Mozgov,C,Los Angeles Lakers,16e6,16
Ian Mahinmi,C,Washington Wizards,15944154,15.944154
Goran Dragic,PG,Miami Heat,15891725,15.891725
Kent Bazemore,SF,Atlanta Hawks,15730338,15.730338
Pau Gasol,C,San Antonio Spurs,155e5,15.5
Draymond Green,PF,Golden State Warriors,15330435,15.330435
Tristan Thompson,C,Cleveland Cavaliers,15330435,15.330435
Khris Middleton,SG,Milwaukee Bucks,152e5,15.2
Danilo Gallinari,SF,Denver Nuggets,1505e4,15.05
Jeff Green,SF,Orlando Magic,15e6,15
Reggie Jackson,PG,Detroit Pistons,14956522,14.956522
Tony Parker,PG,San Antonio Spurs,14445313,14.445313
Jonas Valanciunas,C,Toronto Raptors,14382023,14.382023
DeMarre Carroll,SF,Toronto Raptors,142e5,14.2
Thaddeus Young,PF,Indiana Pacers,14153652,14.153652
