total_salary,mean_salary,low_salary,high_salary,avg_age,avg_FG,avg_3P,avg_2P,avg_FT,avg_ORB,avg_DRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_GP,avg_MPG,avg_PACE,avg_W,VALUE_MILLIONS
98.928447,6.5952298,0.543471,24.55938,27,2.7,0.6,2.7,1.1,0.8,2.8,1.5,0.6,0.3,1,66,21,98.48,26,3300
87.098757,5.8065838,0.543471,18,25,3.1,0.5,2.2,1.2,0.6,3,1.6,0.6,0.3,0.9,63,25.9,100.72,24,3e3
89.467269,11.183408625,0.543471,26.5,28,3.6,1.1,2.7,2,0.7,3.3,3.4,1,0.5,1.6,76,32.5,103.34,63,2600
86.066188,6.620476,0.543471,23.2,25,2.9,0.7,2.4,0.9,1.1,3.5,1.1,0.7,0.2,1.1,64,18.8,97.78,30,2500
95.95528,5.050277894736842,0.543471,26.5401,25,2.5,0.6,1.9,0.8,0.7,2.5,1.8,0.6,0.2,0.9,72,17.2,99.02,47,2200
91.29153,7.6076274999999995,0.980431,22.868827,29,3,0.6,1.9,1.5,0.4,1.9,0.9,0.7,0.2,0.8,68,22.3,98.18,43,2e3
70.969193,4.4355745625,0.543471,21.165675,28,2.7,0.9,1.9,1.1,0.7,2.9,1.9,0.5,0.3,1,57,18.6,103.54,14,1800
76.748749,6.395729083333333,0.815615,26.5,28,4.1,2.4,1.8,1.2,0.7,2.5,2.2,0.6,0.3,0.9,75,29.4,102.25,50,1650
60.278655,6.697628333333333,0.031969,25,30,2.5,0.9,2.2,1.4,0.2,2.1,2.1,0.6,0.1,0.9,54,17.3,95.46,23,1450
72.006057,7.2006057,1.471382,23.74106,29,4.4,1.3,3.6,1.6,0.7,2.9,3.2,1,0.3,1.2,53,29.8,98.03,27,1350
126.769035,10.56408625,0.207722,30.96345,32,3.4,1.7,1.4,0.9,0.7,3.4,1.6,0.5,0.4,1,72,26.2,98.38,44,1200
114.682791,6.746046529411765,0.543471,20.575005,28.5,3,0.7,1.6,1,0.45,2.25,2.0999999999999996,0.55,0.2,1.3,68.5,23.549999999999997,95.825,49,1175
85.316776,5.687785066666667,0.543471,14.382023,24.5,2.75,0.5,1.65,1,0.9,2.5999999999999996,0.95,0.7,0.4,0.8500000000000001,68.5,24.8,97.36500000000001,38,1125
71.809399,5.523799923076923,0.057672,14,25,3,0.8,2.6,1.6,0.5,2.6,1.2,0.5,0.3,1.3,66,21.1,103.23,20,1100
102.381025,5.11905125,0.543471,16.9579,25.5,3,1.1,2.35,1,0.4,2.55,1.3,0.55,0.15000000000000002,1.05,63,20.1,96.98500000000001,25.5,1075
115.497517,6.793971588235294,0.874636,24.328425,24,3.6,0.5,2.1,1.3,0.6,3.2,1.2,0.8,0.4,1.1,74,25.5,99.29,37,1050
102.740171,6.043539470588235,1.52604,26.5,25,2.7,0.6,2.2,0.7,0.6,3,1,0.5,0.3,0.9,70,21.3,99.61,39,1025
112.818118,7.521207866666667,0.874636,22.11675,27,3.5,0.7,2.4,1.35,0.6,2.5,1.65,0.5,0.25,1.55,76.5,23.95,99.85,41,1e3
89.30594,6.378995714285714,0.057672,17,25,4.050000000000001,0.9,3.2,1.8,0.6,2.45,2.3,0.8500000000000001,0.2,1.15,72,25.45,99.65,26.5,920
83.164266,5.197766625,0.980431,16.07314,25.5,3.3,0.8,2.25,1.15,0.5,2.8,1.75,0.6,0.2,1.2,68.5,23.65,93.35,41.5,910
78.897138,6.5747615,1.015696,17.2,25,4.1,0.9,3.5,1.3,0.5,2.5,1.7,0.7,0.3,1.1,76,25.9,97.11,34,900
74.320214000000007,4.6450133750000004,0.057672,15.05,26.5,3.6500000000000004,1.15,2.5,1.55,0.6,2.3,2.05,0.6499999999999999,0.2,1.3,60.5,23.55,100.785,29.5,890
88.51772100000001,4.9176511666666665,0.246956,23.180275,27,1.8,0.3,1.4,0.95,0.55,2,1.2999999999999998,0.4,0.25,0.8500000000000001,59,14.700000000000001,98.41,31.5,885
86.066479,6.147605642857143,0.95,18.314532,28,3.6,0.6,3.6,1.3,0.8,3.1,1.9,0.9,0.4,1.3,74,27,98.1,39,880
75.445646,4.437979176470589,0.057672,9.424084,23,3.2,0.8,2.05,1.5,0.95,2.45,1.85,0.6,0.25,1.35,68.5,22.75,100.03,24,800
120.521575,4.820863,0.379159,26.5401,29,2.8,0.6,1.5,1.1,0.5,2.6,1.6,0.6,0.3,0.9,69,20.5,94.64,35,790
83.182514,6.398654923076923,0.815615,17.145838,25,3.1,0.6,2.7,1.3,0.7,2.8,1.2,0.7,0.4,1.2,58,22.5,96.72,31,785
117.009973,5.318635136363636,0.067135,20.869566,24,3.6,0.45,2.25,1.75,0.6,3.05,1.45,0.6,0.4,0.8500000000000001,62,21.2,97.805,29,780
73.523705,4.5952315625,0.980431,13.55,24,3.5,0.8,2.7,1.7,0.9,2.8,2.3,0.8,0.4,1.1,75,21.9,97.07,28,770
76.907643,6.991603909090909,0.057672,22.11675,26.5,2.55,0.8500000000000001,2.0999999999999996,1.15,0.6499999999999999,3.25,2.1500000000000004,0.9,0.4,1.25,66.5,24.95,100.14,29.5,750
