TEAM,total_pageviews,total_twitter_favorite,total_twitter_retweet
ATL,6513,238,95.5
BKN,4247.5,990,316.5
BOS,3789,304,301
CHA,2766.5,405.5,182.5
CHI,8467.5,890,519.5
CLE,23324,8317,2606
DAL,3178,1564,528
DEN,2762,150.5,145.5
DET,838,43.5,74
GS,33066,15428,3727.5
HOU,4373.5,1173,375.5
IND,1917,304.5,185
LAC,8717,1649,486
LAL,5300.5,419,598
MEM,5172.5,406,255
MIA,1912,242.5,131.5
MIL,4295,477,222.5
MIN,7339,802,378
NO,1124,379.5,163
NY,8761,3071.5,3089
OKC,8034.5,2420.5,989
ORL,1517,454,320
PHI,2094,6891.5,2974
PHX,2351,1221,398
POR,3617,420.5,131.5
SA,5969,4190,1028
SAC,1485,80,53
TOR,1581.5,219,104.5
UTAH,3082,1444,360.5
WSH,1550.5,113.5,159
